443, 2099, 18, 0.174272, 0.960954, 10.339902
424, 2118, 18, 0.166798, 0.959276, 10.433497
407, 2135, 19, 0.160110, 0.955399, 10.517241
389, 2153, 21, 0.153029, 0.948780, 10.605911
380, 2162, 21, 0.149489, 0.947631, 10.650247
363, 2179, 22, 0.142801, 0.942857, 10.733990
345, 2197, 24, 0.135720, 0.934959, 10.822660
330, 2212, 26, 0.129819, 0.926966, 10.896552
308, 2234, 29, 0.121164, 0.913947, 11.004926
288, 2254, 31, 0.113297, 0.902821, 11.103448
279, 2263, 33, 0.109756, 0.894231, 11.147783
267, 2275, 35, 0.105035, 0.884106, 11.206897
250, 2292, 40, 0.098348, 0.862069, 11.290641
230, 2312, 46, 0.090480, 0.833333, 11.389163
216, 2326, 51, 0.084972, 0.808989, 11.458128
203, 2339, 58, 0.079858, 0.777778, 11.522167
190, 2352, 62, 0.074744, 0.753968, 11.586206
173, 2369, 71, 0.068057, 0.709016, 11.669950
161, 2381, 78, 0.063336, 0.673640, 11.729064
148, 2394, 85, 0.058222, 0.635193, 11.793103
128, 2414, 96, 0.050354, 0.571429, 11.891625
120, 2422, 103, 0.047207, 0.538117, 11.931034
110, 2432, 112, 0.043273, 0.495495, 11.980295
95, 2447, 124, 0.037372, 0.433790, 12.054187
84, 2458, 133, 0.033045, 0.387097, 12.108375
76, 2466, 139, 0.029898, 0.353488, 12.147783
68, 2474, 146, 0.026751, 0.317757, 12.187192
61, 2481, 152, 0.023997, 0.286385, 12.221675
51, 2491, 162, 0.020063, 0.239437, 12.270936
41, 2501, 172, 0.016129, 0.192488, 12.320197
33, 2509, 180, 0.012982, 0.154930, 12.359606
24, 2518, 189, 0.009441, 0.112676, 12.403941
20, 2522, 193, 0.007868, 0.093897, 12.423645
16, 2526, 197, 0.006294, 0.075117, 12.443350
13, 2529, 200, 0.005114, 0.061033, 12.458128
9, 2533, 204, 0.003541, 0.042254, 12.477833
8, 2534, 205, 0.003147, 0.037559, 12.482759
6, 2536, 207, 0.002360, 0.028169, 12.492611
3, 2539, 210, 0.001180, 0.014085, 12.507389
2, 2540, 211, 0.000787, 0.009390, 12.512315
2, 2540, 211, 0.000787, 0.009390, 12.512315
2, 2540, 211, 0.000787, 0.009390, 12.512315
2, 2540, 211, 0.000787, 0.009390, 12.512315
2, 2540, 211, 0.000787, 0.009390, 12.512315
1, 2541, 212, 0.000393, 0.004695, 12.517241
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
0, 2542, 213, 0.000000, 0.000000, 12.522167
